N,microF1,macroF1,accuracy,overall_time,cm,vectorizer_fitting,training_time,predicting_time
7,0.5868438107582631,0.4303342389659883,0.5868438107582631,50.18839144706726,"[[2918  186    8   84]
 [1868  507  292  528]
 [ 520   29 2008  310]
 [   0    0    0    0]]",49.156408071517944,0.933544397354126,0.03596639633178711
11,0.6505724778569886,0.47744838853921856,0.6505724778569886,50.43588948249817,"[[2838  288    5   65]
 [1180  753  800  462]
 [ 209   88 2432  138]
 [   0    0    0    0]]",49.22294783592224,1.1112282276153564,0.04128098487854004
16,0.7974724562540505,0.6063001206216143,0.7974724562540505,51.649179220199585,"[[2862  271    4   59]
 [ 805 1792  319  279]
 [  50   51 2729   37]
 [   0    0    0    0]]",50.09374117851257,1.4387741088867188,0.05663943290710449
24,0.7972564268740548,0.6250152338405098,0.7972564268740548,51.49191403388977,"[[2762  367    2   65]
 [ 421 1831  148  795]
 [  10   33 2788   36]
 [   0    0    0    0]]",49.480876445770264,1.8844528198242188,0.0661933422088623
36,0.8094620868438107,0.6396822517156125,0.8094620868438107,52.517927169799805,"[[2755  389    0   52]
 [ 187 1947  137  924]
 [   5   45 2792   25]
 [   0    0    0    0]]",49.83452224731445,2.528515577316284,0.0942838191986084
52,0.8258803197234824,0.6530825830984825,0.8258803197234824,52.808194160461426,"[[2817  337    2   40]
 [ 165 2035   70  925]
 [   4   37 2794   32]
 [   0    0    0    0]]",49.3972053527832,3.225623369216919,0.1253066062927246
76,0.8378699503132426,0.6626545874689149,0.8378699503132426,55.16506838798523,"[[2865  303    0   28]
 [ 122 2085   44  944]
 [   3   33 2807   24]
 [   0    0    0    0]]",50.473726749420166,4.426789045333862,0.20354413986206055
100,0.8550488599348536,0.6835202034644645,0.8550488599348535,53.578131914138794,"[[ 72  16   1   0]
 [  2  64   9   0]
 [  0  11 382   1]
 [  1  16  32   7]]",48.12926483154297,5.431294679641724,0.011853456497192383
112,0.8507236984229856,0.6663548701486051,0.8507236984229856,56.029038190841675,"[[2854  325    0   17]
 [ 113 2336   31  715]
 [  28  123 2686   30]
 [   0    0    0    0]]",49.81302309036255,5.859840393066406,0.2965726852416992
138,0.8615635179153095,0.6939161705745741,0.8615635179153095,55.41841650009155,"[[ 75  14   0   0]
 [  2  62  11   0]
 [  1   8 384   1]
 [  1  19  28   8]]",48.39803624153137,6.998794317245483,0.01629328727722168
163,0.8615251674227695,0.6709475035292694,0.8615251674227695,58.48458814620972,"[[2761  416    2   17]
 [  71 2525   22  577]
 [  17  127 2690   33]
 [   0    0    0    0]]",50.16753005981445,7.843581676483154,0.4124481678009033
193,0.8534201954397395,0.6951165584636684,0.8534201954397395,57.06056571006775,"[[ 70  19   0   0]
 [  2  63  10   0]
 [  2  10 380   2]
 [  2  21  22  11]]",48.01796102523804,9.014894962310791,0.021790027618408203
239,0.8785914884424282,0.6809511854467252,0.8785914884424282,61.63251447677612,"[[2819  365    1   11]
 [  54 2617   14  510]
 [  11  133 2698   25]
 [   0    0    0    0]]",50.0526442527771,10.949940204620361,0.5693206787109375
268,0.8485342019543974,0.6741786479093909,0.8485342019543974,60.33825397491455,"[[ 65  24   0   0]
 [  3  67   5   0]
 [  4   9 380   1]
 [  3  21  23   9]]",48.18445873260498,12.118033647537231,0.030309200286865234
349,0.8939295744221214,0.6876698058438285,0.8939295744221214,66.52462816238403,"[[2811  378    1    6]
 [  42 2766   13  374]
 [  10  128 2699   30]
 [   0    0    0    0]]",50.553175926208496,15.105236768722534,0.8060967922210693
372,0.8469055374592833,0.666473939460397,0.8469055374592834,64.08342742919922,"[[ 63  26   0   0]
 [  3  68   4   0]
 [  4   9 380   1]
 [  3  29  15   9]]",48.404054164886475,15.633720397949219,0.04024338722229004
509,0.9014906027219702,0.6910782900816328,0.9014906027219702,72.02039170265198,"[[2818  370    2    6]
 [  43 2832    6  314]
 [   5  138 2696   28]
 [   0    0    0    0]]",50.154746294021606,20.683056831359863,1.1221630573272705
517,0.8355048859934854,0.6553873407960861,0.8355048859934854,69.33898949623108,"[[ 63  26   0   0]
 [  4  66   5   0]
 [  6  12 375   1]
 [  3  29  15   9]]",48.3196542263031,20.958221435546875,0.055701255798339844
719,0.8436482084690554,0.6687539651806469,0.8436482084690554,76.60772919654846,"[[ 65  24   0   0]
 [  4  66   5   0]
 [  7   9 377   1]
 [  3  30  13  10]]",48.70162844657898,27.8197238445282,0.08083558082580566
743,0.875351047742493,0.6700102969941685,0.875351047742493,80.36546564102173,"[[2533  653    6    4]
 [  36 2886   13  260]
 [   4  154 2685   24]
 [   0    0    0    0]]",50.54712724685669,28.174691677093506,1.583693027496338
1000,0.8355048859934854,0.6634619344706859,0.8355048859934854,84.70574426651001,"[[ 69  20   0   0]
 [  5  64   6   0]
 [  1  17 371   5]
 [  2  30  15   9]]",48.526735067367554,36.05970501899719,0.11398530006408691
1085,0.8528839922229423,0.6542504875666445,0.8528839922229423,92.2092661857605,"[[2376  806    6    8]
 [  53 2841   24  277]
 [   2  159 2679   27]
 [   0    0    0    0]]",50.92725849151611,39.04392147064209,2.177640199661255
1389,0.8143322475570032,0.6511649659863946,0.8143322475570033,97.04923415184021,"[[ 50  39   0   0]
 [  2  67   6   0]
 [  2  18 369   5]
 [  1  26  15  14]]",49.02790546417236,47.84929656982422,0.16672253608703613
1584,0.8585007561028299,0.652947388860837,0.8585007561028299,107.0593934059143,"[[2339  846    3    8]
 [  68 2973   23  131]
 [   2  205 2636   24]
 [   0    0    0    0]]",51.21511673927307,53.224536418914795,2.558824300765991
1930,0.8192182410423453,0.6462790260787369,0.8192182410423453,111.9006826877594,"[[ 50  38   1   0]
 [  2  68   5   0]
 [  2  16 373   3]
 [  1  27  16  12]]",49.93675351142883,61.75241661071777,0.20616698265075684
2682,0.8241042345276873,0.6416046238154305,0.8241042345276873,129.57264733314514,"[[ 55  32   1   1]
 [  2  67   6   0]
 [  2  15 375   2]
 [  2  25  20   9]]",49.57392930984497,79.72457528114319,0.2688174247741699
3727,0.8078175895765473,0.5958928571428571,0.8078175895765473,153.2778615951538,"[[ 57  31   0   1]
 [  2  58  15   0]
 [  1  13 377   3]
 [  3  23  26   4]]",49.778462648391724,103.13789367675781,0.3561372756958008
5179,0.8127035830618893,0.6029535933433738,0.8127035830618893,186.66592144966125,"[[ 49  35   5   0]
 [  1  65   9   0]
 [  0  14 380   0]
 [  0  24  27   5]]",50.2603018283844,135.928644657135,0.47150182723999023
7196,0.7947882736156352,0.5787245686598018,0.7947882736156352,245.17926740646362,"[[ 45  42   2   0]
 [  1  63  11   0]
 [  1  18 375   0]
 [  0  28  23   5]]",51.25915479660034,193.2783501148224,0.6357707977294922
